ExptName,SeriesEstimNum,SeriesName,SkipPhaseCorrect,PhaseNAvgFrames,DoTruncate,FOVSize,StimEvery,NStimsInSer,Current,FrameTimeMs,TrainTimeMs,IsLeicaData,LeicaOrFastscan,DataPathOverride,RedFromSeries,RedImageOverride
Cat061012,1,,,,,,10,1,1,815,815,1,,,,
Cat061012,2,,,,,,10,1,2,815,815,1,,,,
Cat061012,3,,,,,,10,1,2,815,815,1,,,,
Cat061012,4,,,,,,10,1,5,815,815,1,,,,
Cat061012,5,,,,,,10,1,10,815,815,1,,,,
Cat061012,6,,,,,,10,1,5,815,815,1,,,,
Cat061012,7,,,,,,10,1,5,815,815,1,,,,
Cat061012,8,,,,,,10,1,10,815,815,1,,,,
Cat061012,9,,,,,600,10,1,5,815,815,1,,Cat061012/Cat061006_estim9,,
Cat061012,10,,,,,600,10,1,10,815,815,1,,Cat061012/Cat061006_estim10,,
Cat061012,11,,,,,,10,1,10,815,815,1,,Cat061012/Cat061006_estim11,,
Cat061012,12,,,,,,10,1,10,815,815,1,,Cat061012/Cat061006_estim12,,
Cat061012,13,,,,,,10,1,10,815,815,1,,Cat061012/Cat061006_estim13,,
Cat061012,14,,,,,,10,1,5,815,815,1,,Cat061012/Cat061006_estim14,,
Cat061012,15,,,,,,10,1,5,815,815,1,,Cat061012/Cat061006_estim15,,
Cat061012,16,,,,,,50,1,5,815,815,1,,Cat061012/Cat061006_estim16,,
Cat061012,17,,,,,,10,1,20,815,815,1,,Cat061012/Cat061006_estim17,,
Cat061012,18,,,,,,22,1,35,815,815,1,,Cat061012/Cat061006_estim18,,
Cat061012,19,,,,,,50,1,50,815,815,1,,registered/Cat061012_estim19.tif,,
Cat061012,20,,,,,,50,1,100,815,815,1,,,,
Cat070122,1,,,,,,20,1,10,815,815,1,,,,
Cat070122,2,,,,,,20,1,9,815,815,1,,,,
Cat070122,3,,,,,,20,1,8,815,815,1,,,estim2,
Cat070122,4,,,,,,20,1,7,815,815,1,,,estim2,
Cat070122,5,,,,,,20,1,6,815,815,1,,,,
Cat070122,6,,,,,,20,1,10,815,815,1,,,estim5,
Cat070122,7,,,,,,20,1,12.5,815,815,1,,,estim5,
Cat070122,8,,,,,,20,1,15,815,815,1,,,,
Cat070122,9,,,,,,20,1,20,815,815,1,,,,
Cat070122,10,,,,,,20,1,25,815,815,1,,,,
Cat070122,11,,,,,,30,1,30,815,815,1,,,,
Cat070122,12,,,,,,30,1,30,815,815,1,,,,
Cat070122,13,,,,,,50,1,15,247,815,1,,,,
Cat070122,14,,,,,,50,1,20,247,815,1,,,,
Cat070122,15,,,,,,50,1,20,247,100,1,,,,
Cat070122,16,,,,,,50,1,25,247,100,1,,,,
Cat070122,17,,,,,,50,1,30,247,100,1,,,,
Cat070122,18,,,,,,50,1,30,247,815,1,,,,
Cat070517,1,,,,1,,20,1,6,815,815,1,,,,
Cat070517,2,,,,,,20,1,20,815,815,1,,,,
Cat070517,3,,,,,,26,5,[15:5:35],815,815,1,,,,
Cat070517,4,,,,,,20,5,[10:2.5:20],815,815,1,,,,
Cat070517,5,,,,,,20,5,[10:5:30],815,815,1,,,,
Cat070517,6,,,,,,20,5,[10:5:30],815,815,1,,,,
Cat070517,7,,,,,,20,5,[10:5:30],815,815,1,,,,
Cat070517,8,,,,,,20,5,[10:5:30],815,815,1,,,,
Cat070517,9,,,,,,20,5,[10:10:50],815,815,1,,,,
Cat070517,10,,,,,,20,5,[10:10:50],815,815,1,,,,
