date,mouse,run_str,area,GECI
171226,i901,runs-004-007,V1,j
180316,i901,runs-003,PM,j
171216,i906,runs-003-004,V1,j
171228,i906,runs-003-006,V1,j
171230,i906,runs-003-006,V1,j
171229,i908,runs-003-006,V1,j
180108,i908,runs-003-004,V1,j
180208,i908,runs-003-004,V1,j
180227,i927,runs-003-004,V1,j
180308,i927,runs-003-004,V1,j
180310,i927,runs-003-004,LM,j
180312,i927,runs-003-004,V1,j
180705,i838,runs-003,PM,f
180619,i840,runs-003,PM,f
180702,i840,runs-003,V1,f
180326,i842,runs-003,V1,s
180702,i842,runs-003,V1,s
180618,i843,runs-003,AL,s
180701,i880,runs-003,LM,f
180701,i881,runs-003,LM,f

